"product_id","sku","name","price","sale_price","original_price","grape","wine_type","producer","country","region","abv","volume","vintage","stock_status","categories","description","url","image"
"72351","VD/1570","Rượu Vang Pháp Domaine Fontaine-Gagnard Bourgogne Pinot Noir 2022","1","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-bourgogne-2022/","https://winecellar.vn/wp-content/uploads/2025/03/domaine-fontaine-gagnard-bourgogne-2022.jpg"
"72341","VT/0662","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet 1er Cru – Morgeot 2022","6.336.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-1er-cru-morgeot-2022/","https://winecellar.vn/wp-content/uploads/2025/03/domaine-fontaine-gagnard-chassagne-montrachet-1er-cru-morgeot-2022.jpg"
"72345","VD/1568","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet 2022","2","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/vang-do-domaine-fontaine-gagnard-chassagne-montrachet-2022/","https://winecellar.vn/wp-content/uploads/2025/03/vang-do-domaine-fontaine-gagnard-chassagne-montrachet.jpg"
"32968","VT/0528","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet Clos Saint-Jean Premier Cru Blanc 2020","6.336.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2020","in-stock","","Phong cách vang của Fontaine-Gagnard mạnh mẽ, sâu sắc và vô cùng phức hợp. Hương vị vang Chassagne-Montrachet cổ điển, dễ uống nhưng luôn ẩn chứa biểu hiện tinh tế của thổ nhưỡng và cấu trúc duyên dáng, thanh lịch.","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-clos-saint-jean-premier-cru-blanc/","https://winecellar.vn/wp-content/uploads/2023/04/domaine-fontaine-gagnard-chassagne-montrachet-clos-saint-jean-premier-cru-blanc.jpg"
"72336","VT/0528-22","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet Clos Saint-Jean Premier Cru Blanc 2022","6.336.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-clos-saint-jean-premier-cru-blanc-2022/","https://winecellar.vn/wp-content/uploads/2023/04/domaine-fontaine-gagnard-chassagne-montrachet-clos-saint-jean-premier-cru-blanc.jpg"
"72337","VT/0659","Rượu Vang Pháp Domaine Fontaine-Gagnard Le Montrachet Grand Cru 2022","2","","","Chardonnay","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-le-montrachet-grand-cru-2022/","https://winecellar.vn/wp-content/uploads/2025/03/domaine-fontaine-gagnard-le-montrachet-grand-cru.jpg"
"72349","VD/1569","Rượu Vang Pháp Domaine Fontaine-Gagnard Volnay 1er Cru-Clos des Chênes 2022","6.600.000","","","Pinot Noir, Chardonnay","Rượu Vang Đỏ","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-volnay-1er-cru-clos-des-chenes-2022/","https://winecellar.vn/wp-content/uploads/2025/03/domaine-fontaine-gagnard-volnay-1er-cru-clos-des-chenes.jpg"
"72300","VT/0526-22","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne Montrachet 1er Cru-Clos des Murées 2022","6.556.000","","","Chardonnay, Pinot Noir","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-1er-cru-clos-des-murees-2022/","https://winecellar.vn/wp-content/uploads/2025/03/domaine-fontaine-gagnard-chassagne-montrachet-1er-cru-clos-des-murees-2022.jpg"
"32972","VT/0527","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet Les Caillerets Premier Cru Blanc 2020","7","","","Chardonnay","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2020","in-stock","","Phong cách vang của Fontaine-Gagnard mạnh mẽ, sâu sắc và vô cùng phức hợp. Hương vị vang Chassagne-Montrachet cổ điển, dễ uống nhưng luôn ẩn chứa biểu hiện tinh tế của thổ nhưỡng và cấu trúc duyên dáng, thanh lịch.","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-les-caillerets-premier-cru-blanc/","https://winecellar.vn/wp-content/uploads/2023/04/domaine-fontaine-gagnard-chassagne-montrachet-les-caillerets-premier-cru-blanc.jpg"
"72335","VT/0527-22","Rượu Vang Pháp Domaine Fontaine-Gagnard Chassagne-Montrachet Les Caillerets Premier Cru Blanc 2022","7","","","Chardonnay","Rượu Vang Trắng","Nhà sản xuất","Bourgogne","","1","750ml","2022","in-stock","","","https://winecellar.vn/ruou-vang-phap/domaine-fontaine-gagnard-chassagne-montrachet-les-caillerets-premier-cru-blanc-2022/","https://winecellar.vn/wp-content/uploads/2023/04/domaine-fontaine-gagnard-chassagne-montrachet-les-caillerets-premier-cru-blanc.jpg"
"32752","VD/1417","Rượu Vang Pháp Domaine Gavignet Pommard 2020","2.226.000","","","Pinot Noir","Rượu Vang Đỏ","Nhà sản xuất","Pháp Domaine Gavignet Pommard 2020","","1","750ml","2020","in-stock","","Một dòng rượu Pommard khá mạnh mẽ, có cấu trúc tốt với hương vị trái cây đỏ, đen chín mọng. Những lớp hương trái cây phức hợp gây ấn tượng ngay từ lần thưởng thức đầu tiên. Hậu vị thơm ngon, đầy lưu luyến.","https://winecellar.vn/ruou-vang-phap/domaine-gavignet-pommard/","https://winecellar.vn/wp-content/uploads/2023/04/domaine-gavignet-pommard.jpg"
