"STT","Name","SKU","Price","ComparePrice","Vendor","ProductType","Available","Stock","Handle"
"40","Domaine de la Tour Blanche Riesling","L20010","1000000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","8","domaine-de-la-tour-blanche-riesling"
"41","Domaine de la Tour Blanche Riesling Grand Cru Schoenenbourg","L20013","1680000","0","Domaine de la Tour Blanche","Rượu vang trắng","True","46","domaine-de-la-tour-blanche-riesling-grand-cru-schoenenbourg"
"42","Domaine de Rochebin Bourgogne Aligote","L20043","1020000","0","Domaine de Rochebin","Rượu vang trắng","True","12","domaine-de-rochebin-bourgogne-aligote"
"43","Domaine de Rochebin Bourgogne Chardonnay","L20044","1090000","0","Domaine de Rochebin","Rượu vang trắng","True","2","domaine-de-rochebin-bourgogne-chardonnay"
"44","Domaine de Rochebin Bourgogne Pinot Noir","L20046","1140000","0","Domaine de Rochebin","Rượu vang đỏ","True","29","domaine-de-rochebin-bourgogne-pinot-noir"
"45","Domaine de Rochebin Macon Villages","L20045","1090000","0","Domaine de Rochebin","Rượu vang trắng","True","25","domaine-de-rochebin-macon-villages"
"46","Domaine du Meteore Carignides AOP Faugeres Rouge","L20050","1320000","0","Domaine du Meteore","Rượu vang đỏ","True","18","domaine-du-meteore-carignides-aop-faugeres-rouge"
"47","Domaine du Meteore Le Meteore Blanc","L20047","850000","0","Domaine du Meteore","Rượu vang trắng","True","34","domaine-du-meteore-le-meteore-blanc"
"48","Domaine du Meteore Le Meteore Rouge","L20048","850000","0","Domaine du Meteore","Rượu vang đỏ","True","32","domaine-du-meteore-le-meteore-rouge"
"49","Domaine du Meteore Leonides AOP Faugeres Rouge","L20049","1120000","0","Domaine du Meteore","Rượu vang đỏ","True","20","domaine-du-meteore-leonides-aop-faugeres-rouge"
"50","Domaine du Meteore Parangon AOP Saint-Chinigan Rouge","L20052","2640000","0","Domaine du Meteore","Rượu vang đỏ","True","27","domaine-du-meteore-parangon-aop-saint-chinigan-rouge"
